53
0.0,0.0
0.0,0.5
0.0,1.0
0.0,1.5
0.0,2.0
0.0,2.5
0.0,2.99999
0.01541,3.39228
0.06156,3.78216
0.13815,4.16721
0.24471,4.54507
0.38060,4.91340
0.54496,5.26994
0.73679,5.61248
0.95491,5.93891
1.19796,6.24723
1.46445,6.53552
1.75275,6.80202
2.06106,7.04507
2.38749,7.26319
2.73003,7.45502
3.08657,7.61939
3.45490,7.75528
3.83275,7.86185
4.21781,7.93844
4.60769,7.98459
4.99998,8.00000
5.39228,7.98459
5.78215,7.93844
6.16721,7.86185
6.54506,7.75529
6.91340,7.61941
7.26993,7.45504
7.61247,7.26321
7.93891,7.04510
8.24722,6.80204
8.53552,6.53555
8.80201,6.24726
9.04507,5.93895
9.26319,5.61251
9.45502,5.26997
9.61939,4.91344
9.75527,4.54511
9.86184,4.16725
9.93844,3.78220
9.98458,3.39232
10.0000,3.00003
10.0,2.5
10.0,2.0
10.0,1.5
10.0,1.0
10.0,0.5
10.0,0
